animal;biome;status;popularity;cost;location
Gelada;Alpine;Low Risk;3.5;$15,000;Ethiopia
Gerenuk;Scrub;Low Risk;2;$5,500;Africa
Mandrill;Tropical Rainforest;Vulnerable;4.5;$35,000;Central Africa
Masai Giraffe;Savannah;Low Risk;1;$2,000;Africa
Meerkat;Scrub;Low Risk;3.5;$15,000;South Africa
Nile Monitor;Wetlands;Low Risk;1.5;$3,000;Africa
Pygmy Hippopotamus;Tropical Rainforest;Critically Endangered;4;$20,000;Central Africa
Ratel;Grassland;Low Risk;2;$5,500;Africa and Asia
Secretary Bird;Grassland;Low Risk;3;$10,000;Africa and Asia
Striped Hyena;Desert;Low Risk;4;$20,000;North Africa
Warthog;Savannah;Low Risk;3;$10,000;Africa
White Rhinoceros;Scrub;Low Risk;2.5;$7,500;South Africa
Wildebeest;Savannah;Low Risk;1.5;$3,000;Africa
Carnotaurus;Boreal Forest;Extinct;3;$10,000;South America
Styracosaurus;Tropical Rainforest;Extinct;1;$2,000;North America
Triceratops;Boreal Forest;Extinct;4;$20,000;North America
Tyrannosaurus rex;Tropical Rainforest;Extinct;5;$50,000;North America
Beluga;Tundra;Vulnerable;0.5;$1,250;Arctic Ocean
Bottlenose Dolphin;Coastal;Vulnerable;3.5;$15,000;Global Warm Oceans
West Indian Manatee;Coastal;Vulnerable;1.5;$3,000;Atlantic Ocean
Blue Marlin;Pelagic;Low Risk;1;$2,000;Atlantic Ocean
Narwhal;Tundra;Vulnerable;3;$10,000;Arctic Ocean
Sea Otter;Coastal;Endangered;2.5;$7,500;North Pacific Coasts
Rockhopper Penguin;Coastal;Vulnerable;2;$5,500;Southern Ocean Islands
Manta Ray;Reef;Low Risk;0.5;$1,250;Global Warm Oceans
California Sea Lion;Coastal;Low Risk;1.5;$3,000;East Pacific Coast
Goblin Shark;Benthic;Low Risk;4;$20,000;Global Warm Oceans
Scalloped Hammerhead;Pelagic;Low Risk;3.5;$15,000;Global Warm Oceans
Blacktip Reef Shark;Reef;Low Risk;3;$10,000;Indo-Pacific Oceans
Whale Shark;Benthic;Vulnerable;4.5;$35,000;Global Warm Oceans
White Shark;Benthic;Vulnerable;5;$45,000;Coasts Worldwide
Leatherback Sea Turtle;Pelagic;Critically Endangered;2.5;$7,500;Global Warm Oceans
Green Sea Turtle;Coastal;Endangered;1;$2,000;Global Warm Oceans
Pacific Walrus;Tundra;Low Risk;4.5;$35,000;Arctic Ocean
False Killer Whale;Coastal;Low Risk;4;$20,000;Coasts Worldwide
Orca;Tundra;Low Risk;5;$50,000;Circumpolar Oceans
Short-Finned Pilot Whale;Pelagic;Low Risk;2;$5,500;Global Warm Oceans
Ankylosaurus;Wetlands;Extinct;4;$45,000;North America
Aurochs;Temperate Forest;Extinct;1;$5,500;Eurasia
Short-Faced Bear;Tundra;Extinct;4;$45,000;North America
Elephant Bird;Wetlands;Extinct;2.5;$15,000;Madagascar
Bluebuck;Grassland;Extinct;0.5;$3,000;Southern Africa
Giant Camel;Grassland;Extinct;1.5;$7,500;North America
Saber-Toothed Cat;Boreal Forest;Extinct;4;$45,000;North America
Bush-Antlered Deer;Temperate Forest;Extinct;1.5;$7,500;Eurasia
Deinonychus;Tropical Rainforest;Extinct;2.5;$15,000;North America
Deinosuchus;Tropical Rainforest;Extinct;4.5;$60,000;North America
Dimetrodon;Wetlands;Extinct;3.5;$35,000;North America
Diprotodon;Wetlands;Extinct;2;$10,000;Australia
Dodo;Tropical Rainforest;Extinct;0.5;$3,000;Mauritius
Doedicurus;Scrub;Extinct;2;$10,000;South America
Dwarf Sicilian Elephant;Grassland;Extinct;3;$15,000;Mediterranean Islands
Gigantopithecus;Tropical Rainforest;Extinct;4.5;$35,000;China
Kentrosaurus;Wetlands;Extinct;2;$10,000;East Africa
Cave Lion;Alpine;Extinct;3.5;$35,000;Europe
American Mastodon;Boreal Forest;Extinct;4.5;$60,000;North America
Killer Penguin;Tundra;Extinct;None;Non-Adoptable;
Protarchaeopteryx;Wetlands;Extinct;1;$5,500;Asia
Quagga;Savannah;Extinct;1.5;$3,000;Africa
Woolly Rhinoceros;Tundra;Extinct;3.5;$35,000;Eurasia
Sivatherium;Savannah;Extinct;1;$5,500;Africa
Giant Ground Sloth;Scrub;Extinct;5;$80,000;South America
Stegosaurus;Boreal Forest;Extinct;4;$45,000;North America
Stokesosaurus;Boreal Forest;Extinct;1.5;$7,500;North America
Thylacine;Temperate Forest;Extinct;3;$20,000;Tasmania
Utahraptor;Boreal Forest;Extinct;4.5;$60,000;North America
Velociraptor;Desert;Extinct;0.5;$3,000;Central Asia
Warrah;Grassland;Extinct;2.5;$15,000;Falkland Islands
Giant Warthog;Savannah;Extinct;3.5;$35,000;Africa
Addax;Desert;Critically Endangered;2;$5,500;North Africa
Asiatic Black Bear;Temperate Forest;Vulnerable;2;$10,000;Asia
Asian Elephant;Scrub;Endangered;3.5;$15,000;Southeast Asia
Black Leopard;Tropical Rainforest;Low Risk;3;$10,000;Africa
Musk Ox;Tundra;Low Risk;0.5;$1,500;Arctic
